id,Type,Region,tags.power,tags.voltage,tags.name,tags.circuits,tags.frequency,tags.source,x1,y1,x2,y2,DC,status,notes
215,way,ID,line,150000,Muara Wahau - Tanjung Redeb,3,50,ESDM 2020,116.922433613919,1.05431026306662,117.478017799999,2.1243105,FALSE,Construction,Substation - Substation node
216,way,ID,line,150000,Maoli - Talisayan,3,50,ESDM 2020,117.847861737281,0.917780092269606,118.147700650358,1.61780641738751,FALSE,Construction,Substation - Substation node
217,way,ID,line,150000,Talisayan - Tajung Redeb,3,50,ESDM 2020,118.147692674673,1.61781244967134,117.478025775685,2.12430446771616,FALSE,Construction,Substation - Substation node
218,way,ID,line,150000,Tanjung Redeb - Tanjung Batu,3,50,ESDM 2020,117.478027500436,2.12431292930595,118.092464178409,2.27818792733166,FALSE,Construction,Substation - Electricity utility office as a surrogate
219,way,ID,line,150000,Tanjung Selor - Tindang Pale,3,50,ESDM 2020,117.36764858861,2.81294680933171,116.885932411389,3.56153659066827,FALSE,Construction,Substation - Substation node
220,way,ID,line,150000,Tindang Pale - Nunukan,3,50,ESDM 2020,116.885935837081,3.56154968038389,117.678713961694,3.9814288043387,FALSE,Construction,Substation - Electricity utility office as a surrogate
221,way,ID,line,150000,Nunukan - Sebuku,3,50,ESDM 2020,117.678704081173,3.98143034554474,116.988477987433,4.08909477751275,FALSE,Construction,Electricity utility office - Electricity utility office as a surrogate
222,way,ID,line,150000,Palinau - Sebuku,3,50,ESDM 2020,116.628739986078,3.51142608866145,116.988462820834,4.08908783005734,FALSE,Construction,Substation - Electricity utility office as a surrogate
223,way,ID,line,150000,Papua extension,3,50,ESDM 2020,136.885198124336,-4.59723241949967,136.9029736,-4.6035032,FALSE,Existing,
224,way,ID,line,150000,Papua extension 2,3,50,ESDM 2020,136.826144399999,-4.67557570000002,136.833987799999,-4.6603087,FALSE,Existing,
225,way,ID,line,150000,Malil extension,3,50,ESDM 2020,121.130082599999,-2.64463049999998,121.1808131,-2.6669054,FALSE,Existing,
226,way,ID,line,150000,Palopo extension,3,50,ESDM 2020,120.261181699999,-3.22638890000007,120.319066699999,-3.34218550000007,FALSE,Existing,
227,way,ID,line,275000,Palopo - Makale,3,50,ESDM 2020,120.179122567193,-3.02427774975882,119.895112719113,-3.07215135709431,FALSE,Construction,
228,way,ID,line,275000,Makale - Engrekang,3,50,ESDM 2020,119.895112719113,-3.07215135709431,119.77633991263,-3.52164481934397,FALSE,Construction,
229,way,ID,line,275000,Engrekang - Bakaru,3,50,ESDM 2020,119.77633991263,-3.52164481934397,119.651629,-3.47972149999998,FALSE,Construction,
230,way,ID,line,275000,Engrekang - Sidrap,3,50,ESDM 2020,119.77633991263,-3.52164481934397,119.752640448562,-3.91667583940641,FALSE,Construction,
231,way,ID,line,275000,Sidrap - Daya Baru,3,50,ESDM 2020,119.752640448562,-3.91667583940641,119.605514999999,-5.1434021,FALSE,Construction,
232,way,ID,line,275000,Daya Baru - Punagaya,3,50,ESDM 2020,119.605514999999,-5.1434021,119.56231,-5.62498670000001,FALSE,Construction,
233,way,ID,line,150000,Kasipute extension,3,50,ESDM 2020,122.0260477,-4.7141691,122.0246579,-4.7297048,FALSE,Existing,
234,way,ID,line,150000,Kasipute - Raha,3,50,ESDM 2020,122.0246579,-4.7297048,122.7183488,-4.87480909999998,FALSE,Construction,
235,way,ID,line,150000,Palu - Mamuju Extension,3,50,ESDM 2020,119.3421093,-1.2819888,119.3338126,-1.4815622,FALSE,Construction,Close connection
236,way,ID,line,150000,Palu - Mamuju Extension,3,50,ESDM 2020,119.192401,-2.3320325,119.1876206,-2.405434,FALSE,Construction,Close connection
237,way,ID,line,150000,Gorontalo - Molibagu,3,50,ESDM 2020,123.135198084866,0.434926150042165,124.051165515134,0.384475449957844,FALSE,Construction,Substation - Substation node
238,way,ID,line,150000,Molibagu - Tutuyan,3,50,ESDM 2020,124.051183708817,0.384480610982229,124.601090677526,0.767058124871973,FALSE,Construction,Substation - Substation node
239,way,ID,line,150000,Otam - Tutuyan,3,50,ESDM 2020,124.292878391073,0.780095977558652,124.60108889527,0.767064258295551,FALSE,Construction,Substation - Substation node
240,way,ID,line,150000,Tutuyan - Belang,3,50,ESDM 2020,124.601106114188,0.767070746590189,124.797234378995,0.954594255330924,FALSE,Construction,Substation - Electricity utility office as a surrogate
241,way,ID,line,150000,Belang - Tanjung Merah,3,50,ESDM 2020,124.797240040128,0.954602498605562,125.086047738867,1.37514045672536,FALSE,Construction,Electricity utility office as a surrogate - Substation
242,way,ID,line,150000,Malingkapoto - Tolinggula,3,50,ESDM 2020,122.797423605096,0.849953523590022,122.151691812067,1.01949245605841,FALSE,Construction,Substation - Substation node
243,way,ID,line,150000,Tolinggula - Leok,3,50,ESDM 2020,122.151682143127,1.01949500784304,121.414127725688,1.21414717090411,FALSE,Construction,Substation - Substation node
244,way,ID,line,150000,Leok - Tolitoli,3,50,ESDM 2020,121.414117927947,1.21414516983874,120.845344977233,1.09798045374506,FALSE,Construction,Substation - Substation node (725)
245,way,ID,line,150000,Marisa - Moutong,3,50,ESDM 2020,122.01288020188,0.47801330608669,120.939760188807,0.457200167275186,FALSE,Construction,Substation (725) - Substation node
246,way,ID,line,150000,Moutong - Bangkir,3,50,ESDM 2020,120.939751327338,0.457204801318926,120.248356487037,0.818764923408339,FALSE,Construction,Substation - Substation node
247,way,ID,line,150000,Tolitoli - Bangkir,3,50,ESDM 2020,120.845335919016,1.09797621715568,120.248365545255,0.81876915999772,FALSE,Construction,Substation - Substation node
248,way,ID,line,150000,Bangkir - Tambu,3,50,ESDM 2020,120.248352620814,0.818755701026901,119.887390158611,-0.042274165784735,FALSE,Construction,Substation - Substation node
249,way,ID,line,150000,Tambu - Taweli,3,50,ESDM 2020,119.887389708123,-0.0422841556326352,119.8562828,-0.732099799999973,FALSE,Construction,Substation - Substation node
250,way,ID,line,150000,Porso - Ampana,3,50,ESDM 2020,120.703791648166,-1.41150687912231,121.546240972969,-0.922404950043396,FALSE,Construction,Substation - Substation node
251,way,ID,line,150000,Ampanana - Bunta,3,50,ESDM 2020,121.546250972498,-0.922405047091002,122.144104632197,-0.928207346972475,FALSE,Construction,Substation - Substation node
252,way,ID,line,150000,Bunta - Luwuk,3,50,ESDM 2020,122.144114592789,-0.928208233886231,122.775768239408,-0.984452113086244,FALSE,Construction,Substation - Substation node
253,way,ID,line,150000,Ampana - Toili,3,50,ESDM 2020,121.546249264903,-0.922410539661738,122.3364175,-1.4550654,FALSE,Construction,Substation - Substation node
254,way,ID,line,150000,Tentena - Kolonedale,3,50,ESDM 2020,120.650054707123,-1.64032483945111,121.41520840822,-2.08141879129669,FALSE,Construction,Substation - Substation node
255,way,ID,line,150000,Wotu - Bungku,3,50,ESDM 2020,120.792829478308,-2.55313174171482,121.930315848598,-2.47808992246297,FALSE,Construction,Substation - Substation node
256,way,ID,line,150000,Kolonedale - Bungku,3,50,ESDM 2020,121.415216331228,-2.0814248926035,121.93030792559,-2.47808382115617,FALSE,Construction,Substation - Substation node
257,way,ID,line,275000,Bungku - Andowia,3,50,ESDM 2020,121.930317517934,-2.4780997821444,122.104816530124,-3.50875198570074,FALSE,Construction,Substation - Electricity utility office as a surrogate
258,way,ID,line,275000,Andowia - Kendari,3,50,ESDM 2020,122.104823208494,-3.50875942877618,122.505872121629,-3.95573035692456,FALSE,Construction,Electricity utility office as a surrogate - Substation
259,way,MY,line,500000,Long Lama - Limbang,3,50,Sarawak Energy,114.1610928,3.7227806,115.048857835842,4.32019523473803,FALSE,Construction,
260,way,MY,line,275000,Limbang extension,3,50,Sarawak Energy,115.048857835842,4.32019523473803,115.023601093126,4.77113406938429,FALSE,Construction,
261,way,MY,line,275000,Limbang - Lawas,3,50,Sarawak Energy,115.048857835842,4.32019523473803,115.418674404065,4.8656596976753,FALSE,Construction,
262,way,MY,line,500000,Mapai - Baleh Hydropower,3,50,Sarawak Energy,112.272254499999,2.1213833,113.7724,1.8058,FALSE,Construction,
263,way,MY,line,150000,Klimanis - Mengalong,3,50,ECOS 2023,115.906654899999,5.65798359999996,115.534031863192,5.00983896986369,FALSE,Construction,
264,way,MY,line,275000,Mengalong - Kalumpang,3,50,ECOS 2023,115.534031863192,5.00983896986369,118.182777935598,4.43819155791587,FALSE,Construction,
265,way,MY,line,275000,Segalud - Dam Road,3,50,ECOS 2023,117.789920499999,5.75080549999998,118.317797465408,5.05645783306263,FALSE,Construction,
